id,naslov,dolzina,leto,leto_original,score,glasovi,avgrating,ratings,reviews
6193937,The Scarlet Letter,279,2003,1850,126179,1570,3.39,651280,13602
6239806,Oliver Twist,608,2003,1838,75166,1015,3.86,292875,6734
6251563,And Then There Were None,264,2004,1939,149270,1739,4.25,678709,27008
6277770,The Poisonwood Bible,546,2005,1998,265058,2907,4.05,624633,22136
6280121,Chosen,307,2008,,19417,252,3.92,214799,4243
6307964,A Storm of Swords,1177,2003,2000,69780,806,4.54,619173,21397
6324651,The Shining,659,1980,1977,141612,1673,4.21,1004922,20452
6329013,The Origin of Species,703,2004,1859,25015,345,3.98,88588,2196
6357135,Dark Lover,393,2005,2005,29989,350,4.2,271007,12060
6360296,Carrie,253,2005,1974,19054,280,3.95,463425,11914
6397201,My Sister's Keeper,423,2005,2004,334976,3682,4.07,989185,32554
6421982,A Game of Thrones,835,2005,1996,532641,5694,4.45,1820204,52199
6479879,Neverwhere,370,2003,1996,44434,544,4.17,389191,20710
6485609,The Godfather,448,2002,1969,122801,1453,4.37,303826,7628
6490587,Things Fall Apart,209,1994,1959,35012,451,3.65,260046,12607
6495605,Lord of the Flies,182,1999,1954,744020,7919,3.67,2069370,33679
6496926,The Road,241,2006,,292824,3207,3.96,656502,43240
6519719,The Great Gatsby,180,2004,1925,693931,7505,3.91,3381634,61142
6522033,Voyager,870,2001,1993,18264,236,4.39,232969,10248
6547258,The Final Empire,541,2006,2006,26315,289,4.45,337624,23260
6563622,The Shadow of the Wind,487,2005,2001,133111,1471,4.26,404141,31395
6567023,Marked,306,2007,,51926,612,3.8,407129,13706
6567453,Looking for Alaska,221,2006,2005,132626,1452,4.05,1009025,53167
6572790,Never Let Me Go,288,2010,2005,35287,432,3.82,417411,28546
6584437,A Clash of Kings,784,2002,1998,50594,622,4.41,726634,22828
6585977,Evermore,301,2009,,25824,313,3.59,251373,9581
6586540,Uglies,425,2005,,55127,656,3.86,525725,22900
6599342,The Girl with the Dragon Tattoo,465,2008,2005,321761,3599,4.13,2356648,66460
6599421,For Whom the Bell Tolls,471,1995,1940,48972,670,3.96,234468,5809
6699003,Artemis Fowl,396,2003,2001,22516,294,3.84,455319,10293
6746355,The Graveyard Book,307,2008,2008,31541,402,4.13,402376,29172
6910629,The Things They Carried,246,1998,1990,41220,504,4.13,232376,13145
6990472,If I Stay,201,2009,,32077,386,3.95,664934,37529
7031288,Dear John,276,2006,2006,28822,366,4.03,509245,11211
7136307,"Hush, Hush",391,2009,,123850,1368,3.98,528240,23837
7150991,The Last Song,390,2009,2008,28088,344,4.15,484184,11668
7203676,Shiver,392,2009,,56537,656,3.77,408635,22202
7541858,City of Bones,485,2007,,697168,7345,4.11,1482224,57887
7542624,Frostbite,327,2008,2008,93728,1063,4.29,293381,10870
7549331,Shadow Kiss,443,2008,2008,104701,1163,4.36,311580,10881
7607518,Blood Promise,503,2009,2009,89451,1018,4.34,263422,9430
7624272,The Lost Hero,557,2010,,57728,698,4.35,562673,20064
7686667,Delirium,441,2012,2011,47246,541,3.98,397852,25760
7827749,"Eat, Pray, Love",368,2007,2006,95761,1107,3.54,1364407,52235
7833099,Fallen,452,2009,,64789,745,3.73,457253,19073
7876209,The Art of Racing in the Rain,321,2008,,32258,382,4.21,420837,36796
8044584,The Maze Runner,384,2009,,74272,851,4.02,920943,53889
8045789,Ender's Game,324,2004,1985,704189,7343,4.3,1033117,41576
8115818,The Girl Who Played with Fire,503,2009,2006,77258,962,4.24,759462,33223
8117586,Into the Wild,207,1997,1996,44756,568,3.97,801793,20129
8118139,Betrayed,310,2007,,21666,281,3.93,230349,5290
8118140,Untamed,338,2008,,20915,270,3.95,206898,3491
8120173,The Book Thief,552,2006,2005,1278210,13203,4.37,1632031,106305
8120401,Redeeming Love,479,2005,1991,20900,237,4.49,191560,10711
8125623,The Lost Symbol,509,2009,,21488,279,3.7,481721,26238
8130423,The Battle of the Labyrinth,361,2008,,81170,961,4.39,659323,16901
8132407,East of Eden,601,2002,1952,23660,287,4.37,394553,17491
8150911,A Time to Kill,515,2004,1989,34201,463,4.06,666852,4911
8153988,The Eye of the World,814,1990,1990,29121,340,4.19,344011,10675
8300755,The Girl Who Kicked the Hornet's Nest,563,2010,2007,47792,612,4.22,603901,28276
8306857,Divergent,487,2012,2011,762930,8020,4.21,2667618,105685
8309278,The Giver,208,2006,1993,387233,4233,4.13,1580756,61780
8316723,The Host,620,2008,,19174,242,3.84,840671,40764
8423493,Catching Fire,391,2009,,53211,654,4.29,2244424,92385
8442457,Gone Girl,415,2014,2012,36236,446,4.06,2052968,128957
8466224,Jonathan Strange &amp; Mr Norrell,1006,2006,2004,22577,279,3.82,180661,13103
8545079,The Pillars of the Earth,976,2002,1989,381714,4109,4.31,594427,29567
8578995,Stranger in a Strange Land,528,1991,1961,48669,606,3.92,259633,7470
8646215,Water for Elephants,335,2007,2006,467512,5035,4.08,1273288,57705
8684868,Mockingjay,390,2010,,31192,402,4.03,2111719,99785
8694005,The Name of the Rose,536,1994,1980,127662,1479,4.12,271884,7860
8719634,Clockwork Angel,481,2010,,166591,1832,4.33,601866,28392
8855387,City of Fallen Angels,425,2011,,54550,677,4.14,437375,21304
8889380,"Unbroken: A World War II Story of Survival, Resilience and Redemption",473,2010,,22798,273,4.38,680773,44880
8889448,"Blood Meridian, or the Evening Redness in the West",337,1992,1985,22236,259,4.17,97820,8849
8900616,Crescendo,432,2010,,28444,351,4.06,259526,10737
9188338,The Way of Kings,1007,2010,,27344,289,4.65,248325,16432
9200938,A Midsummer Night's Dream,240,2016,1595,84170,1110,3.94,414150,7216
9359913,The Ultimate Hitchhiker's Guide to the Galaxy,815,2002,1996,95274,1120,4.38,264978,4965
9396456,Steppenwolf,256,1999,1927,29421,372,4.12,120449,4061
9410255,Torment,452,2010,,17837,222,3.88,198364,7710
9413297,Shantaram,936,2004,2003,21213,241,4.27,144068,12226
9440817,The Silence of the Lambs,421,2002,1988,55154,714,4.18,418967,5134
9469037,Atlas Shrugged,1168,1999,1957,245133,2692,3.69,335862,16360
9475810,Doctor Zhivago,592,1997,1957,27358,408,4.03,74199,2740
9477490,Spirit Bound,489,2010,,60494,709,4.36,250396,8605
9480548,Last Sacrifice,594,2010,,64831,753,4.4,245730,10895
9525672,The Princess Bride,456,2003,1973,582873,6214,4.26,726509,18614
9531737,The Wise Man's Fear,994,2011,,37704,415,4.57,376501,19863
9584862,Invisible Man,581,1995,1952,43255,546,3.86,145903,5241
9847899,A Tale of Two Cities,489,2003,1859,475627,5218,3.83,758973,15844
9917996,'Salem's Lot,483,1991,1975,27370,374,4.01,299520,8579
10053149,Graceling,471,2008,,42892,506,4.09,355529,21228
10080974,David Copperfield,882,2004,1849,69841,921,3.98,186383,5769
10081966,Number the Stars,137,1998,1989,33545,443,4.14,402477,12441
10201688,A Child Called &quot;It&quot;,184,1995,,28996,377,4.1,355654,15238
10374117,The Phantom Tollbooth,256,1996,1961,78030,912,4.21,220122,9448
10428902,Miss Peregrine's Home for Peculiar Children,352,2011,,22379,280,3.91,879060,59281
10616322,Allegiant,526,2013,,32623,395,3.63,757366,64603
10763598,Daughter of Smoke &amp; Bone,422,2011,,24001,283,4.03,283267,27790
10803076,As I Lay Dying,288,1991,1930,29940,397,3.71,127625,6755
10863144,She's Come Undone,465,1998,1992,55831,676,3.87,300250,9735
10916717,The Three Musketeers,625,2001,1844,92857,1161,4.07,254583,6075
10931946,Black Beauty,245,2003,1877,33320,479,3.95,219934,4334
11013027,The Waste Land,320,2000,1922,20559,285,4.11,38568,1002
11055140,Leaves of Grass,624,2006,1855,42140,570,4.12,82858,2370
11060744,The Importance of Being Earnest,76,2005,1895,94794,1179,4.17,281436,8177
11066857,Heidi,352,2002,1880,40518,566,3.98,165319,3388
11106714,The God Delusion,374,2006,2006,17405,221,3.9,211439,7746
11153628,Robinson Crusoe,320,2001,1719,27495,414,3.67,227981,5848
11201920,Bloodlines,421,2011,,17881,227,4.21,159852,8103
11293952,Clockwork Prince,502,2011,,56103,664,4.45,403435,20759
11301989,The Hunger Games Trilogy Boxset,1155,2010,2008,76572,899,4.48,177830,6713
11323701,The Adventures of Tom Sawyer,244,2006,1875,143718,1763,3.91,696925,8943
11387515,Wonder,410,2013,2012,22502,260,4.45,616932,59441
11539004,Midnight in the Garden of Good and Evil,386,1999,1994,24170,344,3.92,203812,8142
11550149,The Son of Neptune,521,2011,,35716,451,4.44,374574,14307
11776950,Houdini Heart,254,2011,,23469,243,4.22,1918,212
11865807,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",491,2006,1990,85033,969,4.25,461378,23393
11961790,Flow Down Like Silver: Hypatia of Alexandria,301,2009,,46646,482,4.43,2153,200
12359568,Matched,369,2010,,23723,293,3.67,608385,32261
12530184,11/22/63,849,2011,,21816,266,4.31,380328,35348
12686642,City of Lost Souls,546,2012,,39053,485,4.29,385055,18742
12782014,The Color Purple,295,2004,1982,305710,3481,4.2,470927,12875
12881778,Fifty Shades Freed,579,2012,,31710,377,3.86,664348,26070
12970552,The Fault in Our Stars,313,2012,,1039359,10793,4.23,3136287,150731
12995406,The Complete Works,1248,1990,1623,41299,532,4.49,48882,763
13068756,Insurgent,525,2012,,101855,1156,4.04,1064180,57744
13101912,The Selection,336,2012,,56564,641,4.14,756916,43650
13330943,The Night Circus,391,2011,,59090,672,4.04,597709,65582
13455782,Shatter Me,338,2011,,25909,297,3.97,254867,26422
13510444,The Lord of the Rings,1216,2005,1955,29066,347,4.49,513714,10787
